barId,name,street,city,state,zipcode,capacity,attire,Accepts credit card,isGoodForGroups,hasWiFi,allowsSmoking,typicalCrowd
0,Evil Roy Slades,7926 Nicolls Avenue ,Austin,TX,78730,335,Formal,1,0,0,0,Middle Age
1,Western Ny Communications,874 Hilltop Dr. ,Villanova,PA,19085,125,Smart Casual,1,0,1,0,Young
2,Brick House,8695 Old Edgewater Court ,Trenton,NJ,08608,145,Smart Casual,0,0,0,0,Middle Age
3,Oak Room,774 Helen St. ,Austin,TX,78730,145,Smart Casual,0,0,0,0,Young
4,Player's Night Club,9 Clay Dr. ,Boston,MA,01841,195,Smart Casual,0,1,0,0,Young
5,Hanging Tree Saloon,9027 Edgewood Street ,Indianapolis,IN,46290,115,Smart Casual,0,0,0,0,Middle Age
6,The Underdark Tavern,66 Rockville Street ,Washington,DC,20001,165,Formal,1,0,0,1,Old
7,Eight To The Bar,20 West Cedar Street ,Brooklyn,NY,11249,195,Casual,1,0,0,0,Middle Age
8,Sin Sin Leopard Lounge,743 Dunbar Lane ,Frankfort,KY,40601,190,Formal,1,1,0,0,Young
9,Cowboy Bill,91 Spruce Street ,Las Vegas,NV,89134,130,Formal,1,0,1,0,Young
10,Planet Pocono,54 Rock Maple Drive ,Nashville,TN,37201,175,Smart Casual,1,0,0,0,Young
11,Meridan Night Club,7670 North Pheasant Street ,Norwalk,CA,90650,195,Casual,1,1,0,0,Young
12,Nutmeg Leathercare,486 Saxton Drive ,Weston,MA,02493,130,Formal,1,0,1,0,Young
13,Nob Hill Bar & Grill,9340 North Squaw Creek Lane ,Villanova,PA,19085,145,Casual,0,0,0,0,Young
14,Spot Bar,50 Helen Street ,Great Falls,VA,22066,190,Formal,1,0,0,0,Young
15,Holy Grail,768 Mayfair Drive ,Weston,MA,02493,130,Casual,0,0,0,0,Middle Age
16,Military St Music Cafe,681 Glen Eagles Ave. ,Austin,TX,78730,105,Formal,1,0,0,0,Young
17,Dallas Eagle,488 Riverview St. ,Oklahoma City,OK,73102,155,Formal,1,0,0,0,Middle Age
18,Friepete Inc,8382 Fifth Ave. ,Miami,FL,33158,130,Smart Casual,0,0,0,0,Middle Age
19,Chop Stix,869 Olive Dr. ,Fontana,CA,92335,135,Casual,1,0,0,0,Middle Age
20,Saloon No 10,413 Columbia St. ,Dover,MA,02030,125,Casual,1,0,0,0,Middle Age
21,Maxwell's Beach Cafe,7911 N. Amerige St. ,Richmond,VA,23218,290,Formal,0,0,0,0,Middle Age
22,Two Bar West,76 Newbridge Ave. ,Salt Lake City,UT,84101,365,Casual,1,0,0,0,Middle Age
23,Grata Bar & Lounge,25 North Cherry St. ,San Jose,CA,95120,140,Casual,0,1,0,0,Young
24,Paradise Tiki Hut,94 Deerfield Drive ,Houston,TX,77084,105,Smart Casual,1,0,0,0,Middle Age
25,Top Rail Ballroom,59 Airport Ave. ,Las Vegas,NV,89134,115,Casual,1,0,0,0,Middle Age
26,Star Hotel,123 New Ave. ,Dallas,TX,75001,140,Casual,1,0,1,0,Young
27,Tailgaters Bar Grill,9784 8th Dr. ,Trenton,NJ,08608,135,Casual,1,0,0,0,Middle Age
28,NorthEnd Tavern,8080 Heritage Street ,Villanova,PA,19085,190,Formal,1,0,0,0,Middle Age
29,Golden Burro Cafe & Lounge,450 West San Pablo Avenue ,Weston,MA,02493,195,Casual,1,1,0,1,Young
30,W. H. Frank Wine & Liquor Merchants; LTD,47 Smoky Hollow St. ,Iowa City,IA,52240,110,Formal,1,0,0,0,Middle Age
31,Fraternal Order Of Eagles,726 Lincoln Drive ,Austin,TX,78730,120,Smart Casual,1,0,1,0,Young
32,Circus Bar,60 Honey Creek Drive ,Dover,DE,19901,170,Casual,1,0,0,0,Middle Age
33,Riskys Sports Bar & Grill,516 Fordham Street ,Dover,DE,19901,190,Formal,0,0,0,0,Middle Age
34,Pounders Bar & Grill,8404 Green Ave. ,Austin,TX,78730,145,Formal,0,0,0,0,Middle Age
35,Claddagh Irish Pub Lyndhurst,30 E. Briarwood St. ,Springfield,PA,19064,110,Formal,1,1,0,0,Young
36,Shenanigans Bar & Grill,324 Elmwood Ave. ,Miami Beach,FL,33109,125,Casual,1,0,0,1,Old
37,Pine Tavern Inc,774 Mill Pond Court ,Fontana,CA,92335,190,Smart Casual,0,0,1,0,Young
38,El Corazon,618 West Greenview Ave. ,Great Falls,VA,22066,390,Casual,0,0,1,0,Young
39,Denyce's Deli & Wine Shop,58 Creek St. ,Springfield,PA,19064,115,Smart Casual,0,0,0,0,Middle Age
40,Cactus Moon Saloon,8983 Lyme Street ,Katy,TX,77449,170,Casual,0,0,0,1,Old
41,Keenan's Irish Pub,473 Madison Rd. ,Oklahoma City,OK,73101,120,Formal,1,1,0,0,Young
42,Tomas Leszczynski,643 New St. ,Atlanta,GA,30334,180,Formal,1,0,0,0,Middle Age
43,Flanagan's Pub,7600 3rd St. ,Annapolis,MD,21401,145,Smart Casual,1,1,0,0,Young
44,Brass Monkey,7465 Taylor Ave. ,Highland,MD,20777,180,Smart Casual,1,0,1,0,Young
45,Orpheum Theatre,51 West St Margarets Court ,Austin,TX,78730,175,Casual,1,0,0,0,Young
46,Silver Dollar,547 Gregory Drive ,Nashville,TN,37201,130,Casual,0,0,0,0,Middle Age
47,Lake House,578 NE. Westport Ave. ,Boston,MA,01841,160,Casual,1,0,0,0,Middle Age
48,Redroom,89 Somerset Drive ,Los Angeles,CA,90011,155,Formal,1,0,1,0,Young
49,Station 4,934 Cedar Swamp Street ,Oklahoma City,OK,73101,180,Casual,1,0,1,0,Young
50,Esquire Lounge,89 South Windfall St. ,Memphis,TN,38157,175,Formal,0,1,0,0,Young
51,Boulevard,737 Oakwood St. ,Princeton Junction,NJ,08550,105,Formal,0,0,0,0,Young
52,O'Sullivan's Sports Bar,638 W. Oak Meadow Lane ,Boston,MA,01841,170,Casual,1,0,0,0,Middle Age
